WKT,type,label,descr,city,region,country,house,phone,zip,highway,level,endlevel,GEOMETRY_X,GEOMETRY_Y
"POINT (174.73753 -36.78214)",5654,,,,,,,,,,0,0,174.73753,-36.78214
"POINT (174.73692 -36.78261)",5654,,,,,,,,,,0,0,174.73692,-36.78261
"POINT (174.744 -36.77708)",5654,,,,,,,,,,0,0,174.744,-36.77708
"POINT (174.72154 -36.7807)",5654,,,,,,,,,,0,0,174.72154,-36.7807
"POINT (174.72911 -36.77963)",5654,,,,,,,,,,0,0,174.72911,-36.77963
"POINT (174.75407 -36.79624)",5654,,,,,,,,,,0,0,174.75407,-36.79624
"POINT (174.63124 -36.88181)",5654,,,,,,,,,,0,0,174.63124,-36.88181
"POINT (174.75993 -36.79997)",5654,,,,,,,,,,0,0,174.75993,-36.79997
"POINT (174.70385 -36.75761)",5654,,,,,,,,,,0,0,174.70385,-36.75761
"POINT (174.72198 -36.76976)",5654,,,,,,,,,,0,0,174.72198,-36.76976
"POINT (174.72119 -36.77422)",5654,,,,,,,,,,0,0,174.72119,-36.77422
"POINT (174.63081 -36.87823)",5654,,,,,,,,,,0,0,174.63081,-36.87823
"POINT (174.63191 -36.87945)",5654,,,,,,,,,,0,0,174.63191,-36.87945
"POINT (174.63522 -36.87966)",5654,,,,,,,,,,0,0,174.63522,-36.87966
"POINT (174.77229 -36.78926)",5654,,,,,,,,,,0,0,174.77229,-36.78926
"POINT (174.62779 -36.87331)",5654,,,,,,,,,,0,0,174.62779,-36.87331
"POINT (174.62933 -36.86205)",5654,,,,,,,,,,0,0,174.62933,-36.86205
"POINT (174.62994 -36.85694)",5654,,,,,,,,,,0,0,174.62994,-36.85694
"POINT (174.63064 -36.8513)",5654,,,,,,,,,,0,0,174.63064,-36.8513
"POINT (174.6315 -36.8473)",5654,,,,,,,,,,0,0,174.6315,-36.8473
"POINT (174.55702 -36.77652)",5654,,,,,,,,,,0,0,174.55702,-36.77652
"POINT (174.76353 -36.77227)",5654,,,,,,,,,,0,0,174.76353,-36.77227
"POINT (174.75227 -36.78855)",5654,,,,,,,,,,0,0,174.75227,-36.78855
"POINT (174.60952 -36.8207)",5654,,,,,,,,,,0,0,174.60952,-36.8207
"POINT (174.61421 -36.81862)",5654,,,,,,,,,,0,0,174.61421,-36.81862
"POINT (174.70793 -36.73356)",5654,,,,,,,,,,0,0,174.70793,-36.73356
"POINT (174.70126 -36.72959)",5654,,,,,,,,,,0,0,174.70126,-36.72959
"POINT (174.69804 -36.7271)",5654,,,,,,,,,,0,0,174.69804,-36.7271
"POINT (174.73909 -36.78439)",5654,,,,,,,,,,0,0,174.73909,-36.78439
"POINT (174.74789 -36.79201)",5654,,,,,,,,,,0,0,174.74789,-36.79201
"POINT (174.62048 -36.87108)",5654,,,,,,,,,,0,0,174.62048,-36.87108
"POINT (174.62434 -36.87338)",5654,,,,,,,,,,0,0,174.62434,-36.87338
"POINT (174.62759 -36.87509)",5654,,,,,,,,,,0,0,174.62759,-36.87509
"POINT (174.75297 -36.78268)",5654,,,,,,,,,,0,0,174.75297,-36.78268
"POINT (174.7563 -36.78546)",5654,,,,,,,,,,0,0,174.7563,-36.78546
"POINT (174.73663 -36.76864)",5654,,,,,,,,,,0,0,174.73663,-36.76864
"POINT (174.74113 -36.77246)",5654,,,,,,,,,,0,0,174.74113,-36.77246
"POINT (174.70317 -36.75729)",5654,,,,,,,,,,0,0,174.70317,-36.75729
"POINT (174.63391 -36.88679)",5654,,,,,,,,,,0,0,174.63391,-36.88679
"POINT (174.74989 -36.7801)",5654,,,,,,,,,,0,0,174.74989,-36.7801
"POINT (174.73721 -36.77023)",5654,,,,,,,,,,0,0,174.73721,-36.77023
"POINT (172.64683 -43.54746)",5654,,,,,,,,,,0,0,172.64683,-43.54746
"POINT (172.69238 -43.51202)",5654,,,,,,,,,,0,0,172.69238,-43.51202
"POINT (172.62184 -43.54743)",5654,,,,,,,,,,0,0,172.62184,-43.54743
"POINT (172.65046 -43.52875)",5654,,,,,,,,,,0,0,172.65046,-43.52875
"POINT (172.65051 -43.53636)",5654,,,,,,,,,,0,0,172.65051,-43.53636
"POINT (172.52569 -43.54338)",5654,,,,,,,,,,0,0,172.52569,-43.54338
"POINT (172.66917 -43.53766)",5654,,,,,,,,,,0,0,172.66917,-43.53766
"POINT (172.52491 -43.5451)",5654,,,,,,,,,,0,0,172.52491,-43.5451
"POINT (172.62759 -43.53534)",5654,,,,,,,,,,0,0,172.62759,-43.53534
"POINT (172.71626 -43.51126)",5654,,,,,,,,,,0,0,172.71626,-43.51126
"POINT (172.70578 -43.50434)",5654,,,,,,,,,,0,0,172.70578,-43.50434
"POINT (172.63124 -43.5288)",5654,,,,,,,,,,0,0,172.63124,-43.5288
"POINT (172.63061 -43.5288)",5654,,,,,,,,,,0,0,172.63061,-43.5288
"POINT (172.65045 -43.52658)",5654,,,,,,,,,,0,0,172.65045,-43.52658
"POINT (172.6728 -43.52185)",5654,,,,,,,,,,0,0,172.6728,-43.52185
"POINT (172.65707 -43.52545)",5654,,,,,,,,,,0,0,172.65707,-43.52545
"POINT (172.64567 -43.5208)",5654,,,,,,,,,,0,0,172.64567,-43.5208
"POINT (172.64566 -43.52442)",5654,,,,,,,,,,0,0,172.64566,-43.52442
"POINT (172.64572 -43.52878)",5654,,,,,,,,,,0,0,172.64572,-43.52878
